"index","y","series_id"
1986,7626,"SCA"
1987,7904858,"SCA"
1988,8113034,"SCA"
1989,8313776,"SCA"
1990,8497848,"SCA"
1991,8634774,"SCA"
1992,8680613,"SCA"
1993,8726187,"SCA"
1994,8790733,"SCA"
1995,8865541,"SCA"
1996,8969308,"SCA"
1997,9060473,"SCA"
1998,9181928,"SCA"
1999,9331206,"SCA"
2000,9370797,"SCA"
2001,9603122,"SCA"
2002,9726642,"SCA"
2003,9803311,"SCA"
2004,9957412,"SCA"
2005,10124433,"SCA"
2006,10329224,"SCA"
2007,10439220,"SCA"
2008,10515162,"SCA"
2009,10510950,"SCA"
2010,10542584,"SCA"
2011,10625190,"SCA"
2012,10681916,"SCA"
2013,10754908,"SCA"
2014,10781720,"SCA"
2015,10969597,"SCA"
2016,10916368,"SCA"
2017,11004853,"SCA"
2018,11025789,"SCA"
2019,11112094,"SCA"
2020,11186350,"SCA"
2021,11232552,"SCA"
2022,11280329,"SCA"
2023,11359812,"SCA"
2024,11428636,"SCA"
